"Ebene";"EDV-Code";"Code";"Alphabetikumsbegriff"
4;"01111";"01.1.1.1";"Braunreis"
4;"01111";"01.1.1.1";"Bruchreis"
4;"01111";"01.1.1.1";"Cargoreis"
4;"01111";"01.1.1.1";"Geschälter Reis"
4;"01111";"01.1.1.1";"Langkornreis"
4;"01111";"01.1.1.1";"Mittelkornreis"
4;"01111";"01.1.1.1";"Nasi Goreng"
4;"01111";"01.1.1.1";"Paella"
4;"01111";"01.1.1.1";"Parboiled Reis"
4;"01111";"01.1.1.1";"Puffreis"
4;"01111";"01.1.1.1";"Reis, aufgebläht oder geröstet"
4;"01111";"01.1.1.1";"Reis, geschält"
4;"01111";"01.1.1.1";"Reis, ungeschält"
4;"01111";"01.1.1.1";"Reis, vorgekocht oder zubereitet"
4;"01111";"01.1.1.1";"Reisfertiggerichte mit Fleisch, Fisch, Meeresfrüchten oder Gemüse"
4;"01111";"01.1.1.1";"Reisflocken"
4;"01111";"01.1.1.1";"Reisgrieß"
4;"01111";"01.1.1.1";"Reissalat"
4;"01111";"01.1.1.1";"Reiszubereitungen mit Fleisch, Fisch, Meeresfrüchten oder Gemüse"
4;"01111";"01.1.1.1";"Rundkornreis"
4;"01111";"01.1.1.1";"Ungeschälter Reis"
4;"01111";"01.1.1.1";"Zubereitungen mit Reis"
4;"01112";"01.1.1.2";"Anderes Getreide"
4;"01112";"01.1.1.2";"Gerste, nicht bearbeitet"
4;"01112";"01.1.1.2";"Gerstengrieß"
4;"01112";"01.1.1.2";"Gerstenmehl"
4;"01112";"01.1.1.2";"Getreide, anderes"
4;"01112";"01.1.1.2";"Getreidekörner, bearbeitet"
4;"01112";"01.1.1.2";"Getreidekörner, nicht bearbeitet"
4;"01112";"01.1.1.2";"Grieß"
4;"01112";"01.1.1.2";"Hafer, nicht bearbeitet"
4;"01112";"01.1.1.2";"Hafergrieß"
4;"01112";"01.1.1.2";"Hafergrütze"
4;"01112";"01.1.1.2";"Hafermehl"
