"Ebene";"EDV-Code";"Code";"Ebene Erl.";"Titel/Erläuterungstext"
1;"01";"01.";"000";"NAHRUNGSMITTEL UND ALKOHOLFREIE GETRÄNKE"
2;"011";"01.1";"000";"Nahrungsmittel"
2;"011";"01.1";"001";"Die hier eingeordneten Erzeugnisse werden im Allgemeinen gekauft, um zu Hause verbraucht zu werden."
2;"011";"01.1";"002";"Diese Gruppe umfasst nicht:"
2;"011";"01.1";"002.001";"Heimtierfutter (s. 09.3.4)"
2;"011";"01.1";"002.002";"Verkauf von Erzeugnissen für den sofortigen Verbrauch durch Kioske, Straßenverkauf u.Ä., einschließlich von Automaten ausgegebene verzehrfertige Erzeugnisse (s. 11.1.1)"
2;"011";"01.1";"002.003";"Verkauf von zubereiteten Speisen von Restaurants zum Mitnehmen (s. 11.1.1)"
2;"011";"01.1";"002.004";"Verkauf von zubereiteten Mahlzeiten durch Caterer entweder zum Mitnehmen oder mit Lieferung (s. 11.1.1)"
3;"0111";"01.1.1";"000";"Brot und Getreideerzeugnisse"
3;"0111";"01.1.1";"001";"Umfasst:"
3;"0111";"01.1.1";"001.001";"Reis in allen Formen"
3;"0111";"01.1.1";"002";"- Mais, Weizen, Gerste, Hafer, Roggen und anderes Getreide in Form von Korn, feinem oder grobem Mehl"
3;"0111";"01.1.1";"002.001";"Brot und andere Backwaren (Knäckebrot, Zwieback, Toastbrot, Kekse, Lebkuchen, Oblaten, Waffeln, Sauerteigfladen, Muffins, Croissants, Kuchen, Torten, gefüllte Kuchen, Quiches, Pizzas usw."
3;"0111";"01.1.1";"002.002";"Gebrauchsfertige Mischungen und Teige zur Herstellung von Backwaren"
3;"0111";"01.1.1";"002.003";"Teigwaren in allen Formen; Couscous"
3;"0111";"01.1.1";"002.004";"Getreidezubereitungen (Cornflakes, Haferflocken usw.) und andere Getreideerzeugnisse (Malz, Malzmehl, Malzextrakt, Kartoffelstärke, Tapioka, Sago und andere Stärken)"
3;"0111";"01.1.1";"003";"Umfasst auch:"
3;"0111";"01.1.1";"003.001";"Mehlzubereitungen mit Fleisch, Fisch, Meeresfrüchten, Käse, Gemüse oder Früchten"
3;"0111";"01.1.1";"004";"Umfasst nicht:"
3;"0111";"01.1.1";"004.001";"Fleischpasteten (s. 01.1.2)"
3;"0111";"01.1.1";"004.002";"Fischpasteten (s. 01.1.3)"
3;"0111";"01.1.1";"004.003";"Zuckermais (s. 01.1.7)"
4;"01111";"01.1.1.1";"000";"Reis"
4;"01111";"01.1.1.1";"001";"Umfasst:"
4;"01111";"01.1.1.1";"001.001";"Reis in allen Formen, einschließlich mit Fleisch, Fisch, Meeresfrüchte oder Gemüse zubereiteter Reis (wenn Reis den Hauptbestandteil darstellt)"
4;"01111";"01.1.1.1";"002";"Umfasst nicht:"
4;"01111";"01.1.1.1";"002.001";"Reismehl (s. 01.1.1.2)"
4;"01112";"01.1.1.2";"000";"Mehl und andere Getreideerzeugnisse"
4;"01112";"01.1.1.2";"001";"Umfasst:"
4;"01112";"01.1.1.2";"001.001";"Mais, Weizen, Gerste, Hafer, Roggen und anderes Getreide in Form von Korn, feinem oder grobem Mehl"
4;"01112";"01.1.1.2";"001.002";"Reismehl"
4;"01113";"01.1.1.3";"000";"Brot"
4;"01113";"01.1.1.3";"001";"Umfasst:"
4;"01113";"01.1.1.3";"001.001";"Brot und Semmeln"
4;"01114";"01.1.1.4";"000";"Andere Backwaren"
4;"01114";"01.1.1.4";"001";"Umfasst:"
4;"01114";"01.1.1.4";"001.001";"Knäckebrot, Zwieback, Toastbrot, Kekse, Lebkuchen, Oblaten, Waffeln, Sauerteigfladen, Muffins, Croissants, Kuchen, Torten, gefüllte Kuchen"
4;"01114";"01.1.1.4";"002";"Umfasst nicht:"
4;"01114";"01.1.1.4";"002.001";"Fleischpasteten (s. 01.1.2.8)"
4;"01114";"01.1.1.4";"002.002";"Fischpasteten (s. 01.1.3.6)"
4;"01115";"01.1.1.5";"000";"Pizza und Quiche"
4;"01115";"01.1.1.5";"001";"Umfasst:"
4;"01115";"01.1.1.5";"001.001";"Mehlzubereitungen mit Fleisch, Fisch, Meeresfrüchten, Käse, Gemüse oder Früchten"
4;"01115";"01.1.1.5";"002";"Umfasst nicht:"
