"Ebene";"EDV-Code";"Code";"Ebene Erl.";"Titel/Erläuterungstext"
1;"01";"01.";"000";"FOOD AND NON-ALCOHOLIC BEVERAGES"
2;"011";"01.1";"000";"Food"
2;"011";"01.1";"001";"The food products classified here are those purchased for consumption at home."
2;"011";"01.1";"002";"Excludes:"
2;"011";"01.1";"002.001";"food products sold for immediate consumption away from the home by hotels, restaurants, cafés, bars, kiosks, street vendors, automatic vending machines, etc. (s. 11.1.1)"
2;"011";"01.1";"002.002";"cooked dishes prepared by restaurants for consumption off their premises (s. 11.1.1)"
2;"011";"01.1";"002.003";"cooked dishes prepared by catering contractors whether collected by the customer or delivered to the customer's home (s. 11.1.1)"
2;"011";"01.1";"002.004";"products sold specifically as pet foods (s. 09.3.4)"
3;"0111";"01.1.1";"000";"Bread and cereals"
3;"0111";"01.1.1";"001";"Includes:"
3;"0111";"01.1.1";"001.001";"Rice in all forms"
3;"0111";"01.1.1";"001.002";"Maize, wheat, barley, oats, rye and other cereals in the form of grain, flour or meal"
3;"0111";"01.1.1";"001.003";"Bread and other bakery products (crisp bread, rusks, toasted bread, biscuits, gingerbread, wafers, waffles, crumpets, muffins, croissants, cakes, tarts, pies, quiches, pizzas, etc.)"
3;"0111";"01.1.1";"001.004";"Mixes and doughs for the preparation of bakery products"
3;"0111";"01.1.1";"001.005";"Pasta products in all forms"
3;"0111";"01.1.1";"001.006";"couscous"
3;"0111";"01.1.1";"001.007";"Cereal preparations (cornflakes, oatflakes, etc.) and other cereal products (malt, malt flour, malt extract, potato starch, tapioca, sago and other starches)"
3;"0111";"01.1.1";"002";"Also includes:"
3;"0111";"01.1.1";"002.001";"farinaceous-based products prepared with meat, fish, seafood, cheese, vegetables or fruit"
3;"0111";"01.1.1";"003";"Excludes:"
3;"0111";"01.1.1";"003.001";"meat pies (s. 01.1.2)"
3;"0111";"01.1.1";"003.002";"fish pies (s. 01.1.3)"
3;"0111";"01.1.1";"003.003";"sweetcorn (s. 01.1.7)"
4;"01111";"01.1.1.1";"000";"Rice"
4;"01111";"01.1.1.1";"001";"Includes:"
4;"01111";"01.1.1.1";"001.001";"rice in all forms, including rice prepared with meat, fish, seafood or vegetables (if rice represents the most important part)"
4;"01111";"01.1.1.1";"002";"Excludes:"
4;"01111";"01.1.1.1";"002.001";"rice flour (s. 01.1.1.2)"
4;"01112";"01.1.1.2";"000";"Flours and other cereals"
4;"01112";"01.1.1.2";"001";"Includes:"
4;"01112";"01.1.1.2";"001.001";"maize, wheat, barley, oats, rye and other cereals in the form of grain, flour or meal"
4;"01112";"01.1.1.2";"001.002";"rice flour"
4;"01113";"01.1.1.3";"000";"Bread"
4;"01113";"01.1.1.3";"001";"Includes:"
4;"01113";"01.1.1.3";"001.001";"bread and bread rolls"
4;"01114";"01.1.1.4";"000";"Other bakery products"
4;"01114";"01.1.1.4";"001";"Includes:"
4;"01114";"01.1.1.4";"001.001";"crisp bread, rusks, toasted bread, biscuits, gingerbread, wafers, waffles, crumpets, muffins, croissants, cakes, tarts, sweet pies"
4;"01114";"01.1.1.4";"002";"Excludes:"
4;"01114";"01.1.1.4";"002.001";"meat pies (s. 01.1.2.8)"
4;"01114";"01.1.1.4";"002.002";"fish pies (s. 01.1.3.6)"
4;"01115";"01.1.1.5";"000";"Pizza and quiche"
4;"01115";"01.1.1.5";"001";"Includes:"
4;"01115";"01.1.1.5";"001.001";"farinaceous-based (flour based) products prepared with meat, fish, seafood, cheese, vegetables or fruit"
4;"01115";"01.1.1.5";"002";"Excludes:"
4;"01115";"01.1.1.5";"002.001";"meat pies (s. 01.1.2.8)"
4;"01115";"01.1.1.5";"002.002";"fish pies (s. 01.1.3.6)"
4;"01116";"01.1.1.6";"000";"Pasta products and couscous"
4;"01116";"01.1.1.6";"001";"Includes:"
4;"01116";"01.1.1.6";"001.001";"ravioli, cannelloni, lasagne etc."
4;"01116";"01.1.1.6";"001.002";"pasta products in all forms"
4;"01116";"01.1.1.6";"001.003";"couscous, including prepared dishes made basically of pasta or couscous"
4;"01117";"01.1.1.7";"000";"Breakfast cereals"
4;"01117";"01.1.1.7";"001";"Includes:"
