"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"01";"01.";"FOOD AND NON-ALCOHOLIC BEVERAGES";""
2;"011";"01.1";"Food";""
3;"0111";"01.1.1";"Bread and cereals";""
4;"01111";"01.1.1.1";"Rice";""
4;"01112";"01.1.1.2";"Flours and other cereals";""
4;"01113";"01.1.1.3";"Bread";""
4;"01114";"01.1.1.4";"Other bakery products";""
4;"01115";"01.1.1.5";"Pizza and quiche";""
4;"01116";"01.1.1.6";"Pasta products and couscous";""
4;"01117";"01.1.1.7";"Breakfast cereals";""
4;"01118";"01.1.1.8";"Other cereal products";""
3;"0112";"01.1.2";"Meat";""
4;"01121";"01.1.2.1";"Beef and veal";""
4;"01122";"01.1.2.2";"Pork";""
4;"01123";"01.1.2.3";"Lamb and goat";""
4;"01124";"01.1.2.4";"Poultry";""
4;"01125";"01.1.2.5";"Other meats";""
4;"01126";"01.1.2.6";"Edible offal";""
4;"01127";"01.1.2.7";"Dried, salted or smoked meat";""
4;"01128";"01.1.2.8";"Other meat preparations";""
3;"0113";"01.1.3";"Fish and seafood";""
4;"01131";"01.1.3.1";"Fresh or chilled fish";""
4;"01132";"01.1.3.2";"Frozen fish";""
4;"01133";"01.1.3.3";"Fresh or chilled seafood";""
4;"01134";"01.1.3.4";"Frozen seafood";""
4;"01135";"01.1.3.5";"Dried, smoked or salted fish and seafood";""
4;"01136";"01.1.3.6";"Other preserved or processed fish and seafood-based preparations";""
3;"0114";"01.1.4";"Milk, cheese and eggs";""
4;"01141";"01.1.4.1";"Milk, whole, fresh";""
4;"01142";"01.1.4.2";"Milk, low fat, fresh";""
4;"01143";"01.1.4.3";"Milk, preserved";""
4;"01144";"01.1.4.4";"Yoghurt";""
4;"01145";"01.1.4.5";"Cheese and curd";""
4;"01146";"01.1.4.6";"Other milk products";""
4;"01147";"01.1.4.7";"Eggs";""
3;"0115";"01.1.5";"Oils and fats";""
4;"01151";"01.1.5.1";"Butter";""
4;"01152";"01.1.5.2";"Margarine and other vegetable fats";""
4;"01153";"01.1.5.3";"Olive oil";""
4;"01154";"01.1.5.4";"Other edible oils";""
