coicop_str,coicop_nop,n_digits,coicop2,coicop3,coicop4,coicop5,coicop2_name,coicop3_name,coicop4_name,coicop5_name
01.1.1.1,1111,5,1,11,111,1111,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Rice
01.1.1.2,1112,5,1,11,111,1112,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Flours and other cereals
01.1.1.3,1113,5,1,11,111,1113,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Bread
01.1.1.4,1114,5,1,11,111,1114,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Other bakery products
01.1.1.5,1115,5,1,11,111,1115,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Pizza and quiche
01.1.1.6,1116,5,1,11,111,1116,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Pasta products and couscous
01.1.1.7,1117,5,1,11,111,1117,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Breakfast cereals
01.1.1.8,1118,5,1,11,111,1118,Food And Non-Alcoholic Beverages,Food,Bread and cereals,Other cereal products
01.1.2.1,1121,5,1,11,112,1121,Food And Non-Alcoholic Beverages,Food,Meat,Beef and veal
01.1.2.2,1122,5,1,11,112,1122,Food And Non-Alcoholic Beverages,Food,Meat,Pork
01.1.2.3,1123,5,1,11,112,1123,Food And Non-Alcoholic Beverages,Food,Meat,Lamb and goat
01.1.2.4,1124,5,1,11,112,1124,Food And Non-Alcoholic Beverages,Food,Meat,Poultry
01.1.2.5,1125,5,1,11,112,1125,Food And Non-Alcoholic Beverages,Food,Meat,Other meats
01.1.2.6,1126,5,1,11,112,1126,Food And Non-Alcoholic Beverages,Food,Meat,Edible offal
01.1.2.7,1127,5,1,11,112,1127,Food And Non-Alcoholic Beverages,Food,Meat,Dried  salted or smoked meat
01.1.2.8,1128,5,1,11,112,1128,Food And Non-Alcoholic Beverages,Food,Meat,Other meat preparations
01.1.3.1,1131,5,1,11,113,1131,Food And Non-Alcoholic Beverages,Food,Fish and seafood,Fresh or chilled fish
01.1.3.2,1132,5,1,11,113,1132,Food And Non-Alcoholic Beverages,Food,Fish and seafood,Frozen fish
01.1.3.3,1133,5,1,11,113,1133,Food And Non-Alcoholic Beverages,Food,Fish and seafood,Fresh or chilled seafood
01.1.3.4,1134,5,1,11,113,1134,Food And Non-Alcoholic Beverages,Food,Fish and seafood,Frozen seafood
01.1.3.5,1135,5,1,11,113,1135,Food And Non-Alcoholic Beverages,Food,Fish and seafood,Dried  smoked or salted fish and seafood
01.1.3.6,1136,5,1,11,113,1136,Food And Non-Alcoholic Beverages,Food,Fish and seafood,Other preserved or processed fish and seafood-based preparations
01.1.4.1,1141,5,1,11,114,1141,Food And Non-Alcoholic Beverages,Food,Milk  cheese and eggs,Milk  whole  fresh
01.1.4.2,1142,5,1,11,114,1142,Food And Non-Alcoholic Beverages,Food,Milk  cheese and eggs,Milk  low fat  fresh
01.1.4.3,1143,5,1,11,114,1143,Food And Non-Alcoholic Beverages,Food,Milk  cheese and eggs,Milk  preserved
01.1.4.4,1144,5,1,11,114,1144,Food And Non-Alcoholic Beverages,Food,Milk  cheese and eggs,Yoghurt
01.1.4.5,1145,5,1,11,114,1145,Food And Non-Alcoholic Beverages,Food,Milk  cheese and eggs,Cheese and curd
